"CT","mx_mean","mx_ub","mx_lb","mx_se"
37.01,52.45,90.4,26.42,16.56
37.02,60.16,104.35,31.46,18.7
38,42.78,70.85,23.6,11.93
39.01,42.74,75.15,22.46,13.5
39.02,52.54,79.87,31.86,12.43
40.01,36.01,64.67,17.9,12.17
40.02,38.44,62.58,22.01,10.26
41.01,45.8,71.52,28.58,11.01
41.02,29.48,48.76,16.65,8.36
42,29.96,52.78,15.66,9.69
43.02,27.95,49.19,14.2,9.39
44,28.4,48.22,15.6,8.53
45.01,36.57,65.27,18.39,12.32
45.02,41.07,69.82,22.03,12.43
46,29,51.53,14.92,9.45
47.01,53.11,85.05,31.94,13.76
48,39.13,62.76,22.58,10.39
49.01,69.02,115.83,39.05,19.63
49.02,40.36,63.15,23.55,10.64
50.02,61.75,99.19,34.73,16.57
50.03,70.27,121.69,36.97,21.65
50.04,64.37,118.9,31.98,22.79
51.01,33.29,57.18,17.4,10.68
51.02,34.93,57.48,19.73,9.55
52.01,52.72,80.94,31.38,12.74
52.02,43.12,68.48,25.01,11.41
53.01,46.17,75.21,26.29,12.54
53.02,49.21,83.79,25.1,15.38
54.01,35.01,52.02,22.12,7.8
54.02,39.81,65.39,22.22,11.08
55.01,52.78,92.39,28.13,16.62
55.02,56.73,102.07,28.63,18.85
56.02,67.95,119.26,36.41,21.31
57.02,43.51,67.5,26.26,10.56
59.06,64.23,107.88,35.92,18.6
59.07,50.74,78.94,30.99,12.5
59.09,41.09,80.41,17.7,16.23
59.1,32.78,61.22,14.53,12.34
59.11,50.29,83.92,27.81,14.26
60.02,50.64,85.56,27.06,15.25
61,37.71,69.26,18.49,13.16
62,25.86,44.27,13.74,7.88
64,36.66,57.97,21.53,9.49
65,51.22,76.09,32.9,11.42
67.01,57.55,100.7,29.23,18.26
68,31.43,54.89,16.68,9.77
69.02,17.36,27.14,10.46,4.31
100.01,102.44,153.48,65.29,22.48
100.02,41.01,68.28,23.19,11.65
101.03,43.06,73.57,23.64,12.64
101.04,48.06,77.51,28.55,12.51
101.06,42.97,67.84,25.3,10.94
103,43.04,67.59,26.64,10.69
104,41,68.37,23.47,11.55
110.02,36.4,73.64,14.85,15.39
110.03,40.53,79.43,18.28,15.85
110.04,31.53,62.77,14.09,12.91
111.02,31.45,53.3,17.57,9.26
111.05,60.48,93.2,37.37,14.94
111.07,69.11,120.21,37.56,21.67
112,49.58,85.42,26.72,15.14
113,57.12,88.26,35.97,13.51
114.01,38.95,75.56,16.39,16.21
114.02,90.89,152.61,50.19,26.45
115,58.81,89.02,37.06,13.28
116,35.94,62.75,19.03,11.36
117,50.57,80.63,29.74,13.16
118,38.74,60.62,23.68,9.45
120,26.14,46.03,13.43,8.57
121,29.45,52.67,14.77,9.65
122,30.34,54.46,15.45,10.04
130.03,53.86,80.44,35.36,11.51
131,34.78,48.33,24.26,6.24
132,45.41,78.7,23.78,14.16
133.01,45.98,83.35,22.88,15.61
133.02,36.1,62.55,18.28,11.73
134,56.41,84.42,35.85,12.93
135,28.01,48.94,15.01,8.64
140.02,24.55,39.84,13.78,6.82
140.03,36.3,63.02,19.53,11.12
140.04,41.39,77.35,19.6,15.11
141.01,47.5,71.38,28.99,11.07
142.01,36.18,61.58,19.07,10.88
142.02,34.65,63.22,17.17,11.76
